[2026-09-01 09:56:25,310] [WARNING] [MainProcess] [2676554] [warnings.py:110]  /data/miniconda3/envs/jisihuai/lib/python3.11/site-packages/click/decorators.py:34: SmallSampleWarning: One or more sample arguments is too small; all returned values will be NaN. See documentation for sample size requirements.
  return f(get_current_context(), *args, **kwargs)

[2026-09-01 09:56:37,009] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2304.162, 2303.2794999999996, 2297.1755000000003, 2297.9145, 2279.8675, 2301.2605, 2318.189, 2300.0724999999998, 2290.3759999999997, 2302.288, 2293.5445, 2297.1555, 2299.3244999999997, 2303.5474999999997, 2315.9855, 2301.518, 2321.65, 2307.074, 2321.7155, 2317.2765, 2315.0645, 2311.848, 2298.582, 2302.2735000000002, 2298.1345, 2305.386, 2302.873, 2311.541, 2310.3735, 2296.7735000000002, 2304.1735, 2316.9205, 2315.294, 2314.441, 2312.917, 2307.9705000000004, 2312.941, 2320.2419999999997, 2354.3419999999996, 2324.416, 2319.6369999999997, 2309.4035, 2472.1974999999998, 2321.166, 2319.5919999999996, 2320.6655, 2317.4155, 2325.392, 2328.4235, 2322.0615000000003]
[2026-09-01 09:56:37,010] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 3.670937
[2026-09-01 09:56:37,011] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2304.162, 2303.2794999999996, 2297.1755000000003, 2297.9145, 2279.8675, 2301.2605, 2318.189, 2300.0724999999998, 2290.3759999999997, 2302.288, 2293.5445, 2297.1555, 2299.3244999999997, 2303.5474999999997, 2315.9855, 2301.518, 2321.65, 2307.074, 2321.7155, 2317.2765, 2315.0645, 2311.848, 2298.582, 2302.2735000000002, 2298.1345, 2305.386, 2302.873, 2311.541, 2310.3735, 2296.7735000000002, 2304.1735, 2316.9205, 2315.294, 2314.441, 2312.917, 2307.9705000000004, 2312.941, 2320.2419999999997, 2354.3419999999996, 2324.416, 2319.6369999999997, 2309.4035, 2472.1974999999998, 2321.166, 2319.5919999999996, 2320.6655, 2317.4155, 2325.392, 2328.4235, 2322.0615000000003]
[2026-09-01 09:56:40,428] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 9.815044
[2026-09-01 09:56:40,428] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2328.165, 2327.04, 2324.8305, 2328.588, 2316.347, 2332.6675, 2329.648, 2339.7735000000002, 2346.1205, 2318.4245, 2316.2895, 2321.308, 2317.8125, 2315.4455000000003, 2316.943, 2315.6575000000003, 2323.0165, 2305.2599999999998, 2313.065, 2326.2675, 2313.5029999999997, 2321.0645, 2318.301, 2582.932, 2326.7825000000003, 2330.8695, 2328.7035, 2331.325, 2736.4790000000003, 2339.2775, 2325.204, 2313.6835, 2313.09, 2333.2045, 2324.046, 2319.2675, 2308.027, 2304.7290000000003, 2313.0035, 2311.5885, 2310.3275000000003, 2321.0355, 2323.7245, 2319.088, 2313.4735, 2311.572, 2309.2225, 2313.9725, 2326.4355, 2318.433]
[2026-09-01 09:56:40,429] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 9.815044
[2026-09-01 09:56:40,430] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [2328.165, 2327.04, 2324.8305, 2328.588, 2316.347, 2332.6675, 2329.648, 2339.7735000000002, 2346.1205, 2318.4245, 2316.2895, 2321.308, 2317.8125, 2315.4455000000003, 2316.943, 2315.6575000000003, 2323.0165, 2305.2599999999998, 2313.065, 2326.2675, 2313.5029999999997, 2321.0645, 2318.301, 2582.932, 2326.7825000000003, 2330.8695, 2328.7035, 2331.325, 2736.4790000000003, 2339.2775, 2325.204, 2313.6835, 2313.09, 2333.2045, 2324.046, 2319.2675, 2308.027, 2304.7290000000003, 2313.0035, 2311.5885, 2310.3275000000003, 2321.0355, 2323.7245, 2319.088, 2313.4735, 2311.572, 2309.2225, 2313.9725, 2326.4355, 2318.433]
[2026-09-01 09:56:43,633] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.235016
[2026-09-01 09:56:43,634] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [966.503, 961.0799999999999, 954.4159999999999, 958.7094999999999, 969.143, 966.2149999999999, 961.4445, 954.4834999999999, 960.7995000000001, 954.0645000000001, 957.342, 984.9959999999999, 991.14, 956.4735000000001, 963.9565, 961.3924999999999, 951.8675, 947.338, 945.7205, 951.5139999999999, 956.9555, 945.7665000000001, 944.867, 968.686, 955.716, 946.9895, 946.8254999999999, 965.683, 981.906, 969.2645, 958.1205, 959.0719999999999, 965.1450000000001, 965.7850000000001, 955.6895000000001, 958.403, 957.1299999999999, 955.0935, 958.5595, 967.432, 976.5975000000001, 962.2545, 957.7225000000001, 967.7495000000001, 991.0595, 960.059, 956.7860000000001, 925.4399999999999, 899.4799999999999, 895.5635]
[2026-09-01 09:56:43,635] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.292878
[2026-09-01 09:56:43,635] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [966.503, 961.0799999999999, 954.4159999999999, 958.7094999999999, 969.143, 966.2149999999999, 961.4445, 954.4834999999999, 960.7995000000001, 954.0645000000001, 957.342, 984.9959999999999, 991.14, 956.4735000000001, 963.9565, 961.3924999999999, 951.8675, 947.338, 945.7205, 951.5139999999999, 956.9555, 945.7665000000001, 944.867, 968.686, 955.716, 946.9895, 946.8254999999999, 965.683, 981.906, 969.2645, 958.1205, 959.0719999999999, 965.1450000000001, 965.7850000000001, 955.6895000000001, 958.403, 957.1299999999999, 955.0935, 958.5595, 967.432, 976.5975000000001, 962.2545, 957.7225000000001, 967.7495000000001, 991.0595, 960.059, 956.7860000000001, 925.4399999999999, 899.4799999999999, 895.5635]
[2026-09-01 09:56:43,636] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.403943
[2026-09-01 09:56:43,636] [WARNING] [MainProcess] [2676554] [decorators.py:34]  [966.503, 961.0799999999999, 954.4159999999999, 958.7094999999999, 969.143, 966.2149999999999, 961.4445, 954.4834999999999, 960.7995000000001, 954.0645000000001, 957.342, 984.9959999999999, 991.14, 956.4735000000001, 963.9565, 961.3924999999999, 951.8675, 947.338, 945.7205, 951.5139999999999, 956.9555, 945.7665000000001, 944.867, 968.686, 955.716, 946.9895, 946.8254999999999, 965.683, 981.906, 969.2645, 958.1205, 959.0719999999999, 965.1450000000001, 965.7850000000001, 955.6895000000001, 958.403, 957.1299999999999, 955.0935, 958.5595, 967.432, 976.5975000000001, 962.2545, 957.7225000000001, 967.7495000000001, 991.0595, 960.059, 956.7860000000001, 925.4399999999999, 899.4799999999999, 895.5635]
[2026-09-01 09:56:43,638] [WARNING] [MainProcess] [2676554] [decorators.py:34]  std exception 2.403943
