kind,shape_sig,dtype,v3_id,v4_id,v3_e2e_us,v4_e2e_us,diff_v3_minus_v4_us,ratio_v3_over_v4,v3_device_us,v4_device_us
func,"q:8,64,4,128/fp16 | k:8,129,4,128/fp16 | v:8,129,4,128/fp16",fp16,185,191,1766.05,1746.37,19.68,1.011,,
func,"q:8,1,16,32/fp16 | k:8,256,16,32/fp16 | v:8,256,16,32/fp16",fp16,192,192,1722.38,1696.81,25.57,1.015,,
func,"q:4,257,8,128/fp16 | k:4,8,4,128/fp16 | v:4,8,4,128/fp16",fp16,195,193,575.64,396.07,179.57,1.453,,
func,"q:4,15,4,256/fp16 | k:4,256,4,256/fp16 | v:4,256,4,256/fp16",fp16,197,196,548.12,386.31,161.81,1.419,,
varlen,"q:1,4,32/bf16 | k:1,2,32/bf16 | v:1,2,32/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,2,2,2541.8,2436.65,105.15,1.043,,
varlen,"q:2,1,64/bf16 | k:2,1,64/bf16 | v:2,1,64/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,7,4,1109.47,1055.52,53.95,1.051,,
varlen,"q:4,1,16/bf16 | k:17,1,16/bf16 | v:17,1,16/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,9,7,1181.36,1007.54,173.82,1.173,,
varlen,"q:2,4,32/fp16 | k:2,4,32/fp16 | v:2,4,32/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,11,8,2503.98,2384.93,119.05,1.05,,
varlen,"q:8,1,64/bf16 | k:2,1,64/bf16 | v:2,1,64/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,13,11,1110.57,1019.45,91.13,1.089,,
varlen,"q:8,4,16/fp16 | k:8,1,16/fp16 | v:8,1,16/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,14,12,2693.66,2342.91,350.76,1.15,,
varlen,"q:7,1,16/fp16 | k:33,1,16/fp16 | v:33,1,16/fp16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",fp16,15,13,2511.11,2347.82,163.3,1.07,,
varlen,"q:8,1,32/fp16 | k:15,1,32/fp16 | v:15,1,32/fp16 | cu_seqlens_q:9/int32 | cu_seqlens_k:9/int32",fp16,16,14,1320.89,1014.09,306.8,1.303,,
varlen,"q:4,2,32/fp16 | k:8,2,32/fp16 | v:8,2,32/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,18,15,1201.92,990.63,211.29,1.213,,
varlen,"q:17,2,16/bf16 | k:7,2,16/bf16 | v:7,2,16/bf16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",bf16,19,17,1243.5,1000.4,243.1,1.243,,
varlen,"q:7,1,64/bf16 | k:7,1,64/bf16 | v:7,1,64/bf16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",bf16,24,18,2594.73,2439.03,155.7,1.064,,
varlen,"q:2,1,256/bf16 | k:2,1,256/bf16 | v:2,1,256/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,25,23,2670.03,2347.68,322.35,1.137,,
varlen,"q:4,8,32/bf16 | k:2,2,32/bf16 | v:2,2,32/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,26,24,1143.8,974.57,169.22,1.174,,
varlen,"q:4,1,32/bf16 | k:33,1,32/bf16 | v:33,1,32/bf16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",bf16,30,25,2620.96,2429.85,191.1,1.079,,
varlen,"q:2,1,128/bf16 | k:8,1,128/bf16 | v:8,1,128/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,32,26,2536.01,2342.62,193.39,1.083,,
varlen,"q:2,4,32/bf16 | k:17,2,32/bf16 | v:17,2,32/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,38,27,1136.77,982.0,154.78,1.158,,
varlen,"q:8,4,16/fp16 | k:17,4,16/fp16 | v:17,4,16/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,39,30,2554.36,2355.41,198.95,1.084,,
varlen,"q:96,1,16/bf16 | k:7,1,16/bf16 | v:7,1,16/bf16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",bf16,41,31,1191.36,974.83,216.53,1.222,,
varlen,"q:2,2,16/fp16 | k:65,2,16/fp16 | v:65,2,16/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,42,40,2423.1,2320.68,102.42,1.044,,
varlen,"q:1,1,256/fp16 | k:8,1,256/fp16 | v:8,1,256/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,44,44,1165.62,986.12,179.5,1.182,,
varlen,"q:4,16,32/fp16 | k:1,16,32/fp16 | v:1,16,32/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,45,47,1123.77,960.07,163.7,1.171,,
varlen,"q:2,4,64/bf16 | k:8,4,64/bf16 | v:8,4,64/bf16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",bf16,48,48,1115.94,1025.24,90.7,1.088,,
varlen,"q:7,16,16/fp16 | k:17,4,16/fp16 | v:17,4,16/fp16 | cu_seqlens_q:2/int32 | cu_seqlens_k:2/int32",fp16,54,51,1034.51,954.94,79.57,1.083,,
varlen,"q:17,1,64/fp16 | k:32,1,64/fp16 | v:32,1,64/fp16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",fp16,56,54,2486.19,2412.68,73.51,1.03,,
varlen,"q:7,4,64/fp16 | k:7,4,64/fp16 | v:7,4,64/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,61,57,2792.58,2414.99,377.59,1.156,,
varlen,"q:7,16,32/bf16 | k:7,2,32/bf16 | v:7,2,32/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,71,61,2718.46,2363.27,355.19,1.15,,
varlen,"q:16,4,32/fp16 | k:16,4,32/fp16 | v:16,4,32/fp16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",fp16,72,63,1276.75,1038.2,238.55,1.23,,
varlen,"q:4,16,32/bf16 | k:8,8,32/bf16 | v:8,8,32/bf16 | cu_seqlens_q:5/int32 | cu_seqlens_k:5/int32",bf16,74,64,2526.1,2366.2,159.9,1.068,,
varlen,"q:16,2,64/bf16 | k:17,2,64/bf16 | v:17,2,64/bf16 | cu_seqlens_q:3/int32 | cu_seqlens_k:3/int32",bf16,75,67,1109.3,1028.33,80.97,1.079,,
